COMMON_NAME,classification
Yellow-crowned Night-Heron,W
Cave Swallow,L
Black-bellied Whistling-Duck,W
Blue Grosbeak,L
Abert's Towhee,L
Heermann's Gull,W
Plumbeous Vireo,L
Broad-billed Hummingbird,L
Lesser Nighthawk,L
Inca Dove,L
Cassin's Vireo,L
Pyrrhuloxia,L
Greater Roadrunner,L
Red-naped Sapsucker,L
Bell's Vireo,L
Green-tailed Towhee,L
Black-throated Sparrow,L
Black-legged Kittiwake,W
Bohemian Waxwing,L
Nanday Parakeet,L
Horned Lark,L
Rosy-faced Lovebird,L
Red-necked Phalarope,L
Swallow-tailed Kite,R
Long-eared Owl,R
Gilded Flicker,L
Eurasian Wigeon,W
Grace's Warbler,L
Lapland Longspur,L
Wilson's Snipe,W
Wild Turkey,L
Lewis's Woodpecker,L
Rock Wren,L
Ash-throated Flycatcher,L
Western Meadowlark,L
Bobolink,L
Sedge Wren,L
Rough-legged Hawk,R
Black Skimmer,W
Eurasian Tree Sparrow,L
Taiwan Barbet,L
Oriental Magpie-Robin,L
Black-naped Monarch,L
Cinnamon Bittern,W
Japanese White-eye,L
Common Kingfisher,W
Pale Thrush,L
Crested Goshawk,R
Malayan Night-Heron,W
Light-vented Bulbul,L
Black Bulbul,L
Collared Scops-Owl,R
Oriental Turtle-Dove,L
Asian Glossy Starling,L
White-breasted Waterhen,W
Black-browed Reed-Warbler,L
Least Bittern,W
European Greenfinch,L
Pacific Gull,W
Australian Kestrel,R
Red-browed Firetail,L
Common Bronzewing,L
Brown Quail,L
Eurasian Skylark,L
Fan-tailed Cuckoo,L
Horsfield's Bronze-Cuckoo,L
Musk Lorikeet,L
Short-tailed Shearwater,W
Australian Crake,L
Collared Sparrowhawk,R
Swainson's Hawk,R
Long-tailed Duck,W
Spotless Crake,W
Gray Partridge,L
Australian Brushturkey,L
Noisy Friarbird,L
Rufous-backed Robin,L
Costa's Hummingbird,L
Gray-crowned Rosy-Finch,L
Mountain Bluebird,L
Rufous-winged Sparrow,L
Hammond's Flycatcher,L
Oriental Honey-buzzard,R
Black Redstart,L
Eurasian Hoopoe,L
Isabelline Shrike,L
Eurasian Blackcap,L
Forest Wagtail,L
Menetries's Warbler,L
Eastern Olivaceous Warbler,L
Red-backed Shrike,L
Marsh Warbler,W
Greater Whitethroat,L
Common Redstart,L
Black-headed Bunting,L
Spotted Flycatcher,L
European Roller,L
Pallid Swift,L
Willow Warbler,L
Red-breasted Flycatcher,L
Red-tailed Shrike,L
Tree Pipit,L
Upcher's Warbler,L
Western Yellow Wagtail,L
Masked Shrike,L
Red-throated Pipit,L
Garden Warbler,L
Rufous-tailed Scrub-Robin,L
Common Nightingale,L
Graceful Prinia,L
Eurasian Marsh-Harrier,R
Mountain Chickadee,L
Black-winged Stilt,W
Lesser Gray Shrike,L
Eurasian River Warbler,L
Indian Silverbill,L
Water Pipit,L
Alexandrine Parakeet,L
Dusky Warbler,L
Purple Sunbird,L
Green Bee-eater,L
European Bee-eater,L
Eurasian Kestrel,R
Whinchat,L
Red-vented Bulbul,L
Eurasian Golden Oriole,L
White-eared Bulbul,L
House Crow,L
Sedge Warbler,L
Eurasian Wryneck,L
Gray Francolin,L
White-throated Robin,L
Red-wattled Lapwing,W
Isabelline Wheatear,L
Woodchat Shrike,L
Pallid Scops-Owl,R
Lesser Whitethroat,L
Pied Wheatear,L
Rufous-tailed Rock-Thrush,L
Great Reed-Warbler,L
Northern Wheatear,L
Semicollared Flycatcher,L
Barred Warbler,L
Red-whiskered Bulbul,L
Plain Leaf Warbler,L
Scaly-breasted Munia,L
Southern Gray Shrike,L
Clamorous Reed-Warbler,L
Eurasian Nightjar,L
Blue-cheeked Bee-eater,L
Greater Spotted Eagle,R
Common Grasshopper-Warbler,L
Shikra,R
Black Swift,L
Western Screech-Owl,R
Little Bittern,W
Eastern Orphean Warbler,L
Eurasian Crag-Martin,L
Fairy Martin,L
Yellow Thornbill,L
Short-eared Owl,R
Clark's Grebe,W
Barrow's Goldeneye,W
Acorn Woodpecker,L
Lawrence's Goldfinch,L
Venezuelan Troupial,L
Black-whiskered Vireo,L
Blue-and-yellow Macaw,L
Antillean Mango,L
Green Mango,L
Yellow-faced Grassquit,L
Hepatic Tanager,L
Magpie Goose,W
Australian King-Parrot,L
Crissal Thrasher,L
Sage Thrasher,L
Juniper Titmouse,L
Western Sandpiper,W
Common Hill Myna,L
Spot-breasted Oriole,L
Mitred Parakeet,L
Scissor-tailed Flycatcher,L
Gull-billed Tern,W
Yellow-chevroned Parakeet,L
Orange-winged Parrot,L
Striated Thornbill,L
Pallid Cuckoo,L
Pacific Heron,W
Rainbow Bee-eater,L
Elegant Tern,W
Ring-necked Pheasant,L
Henslow's Sparrow,L
Bicknell's Thrush,L
Dickcissel,L
Black-capped Vireo,L
Black-crested Titmouse,L
Grasshopper Sparrow,L
Daurian Redstart,L
House Swift,L
Ashy Wood-Pigeon,L
White's Thrush,L
Naumann's Thrush,L
Gray Treepie,L
Taiwan Blue-Magpie,L
White-rumped Shama,L
Pacific Swallow,L
Taiwan Scimitar-Babbler,L
Black Kite,R
Hooded Crow,L
Rook,L
Wood Warbler,L
Short-toed Treecreeper,L
Middle Spotted Woodpecker,L
Black Tern,W
Lesser Spotted Woodpecker,L
Syrian Woodpecker,L
Common Buzzard,R
Great Crested Tern,W
Sharp-tailed Sandpiper,W
Spangled Drongo,L
Yellow-billed Magpie,L
Gyrfalcon,R
Harris's Sparrow,L
European Pied Flycatcher,L
Yellow-legged Gull,W
European Honey-buzzard,R
Ruddy Quail-Dove,L
Puerto Rican Screech-Owl,R
Pin-tailed Whydah,L
Orange-cheeked Waxbill,L
Golden Grosbeak,L
Antillean Nighthawk,L
Scrub Tanager,L
Channel-billed Cuckoo,L
White-headed Pigeon,L
Royal Tern,W
Bearded Reedling,L
Dusky Woodswallow,L
Golden Whistler,L
Semipalmated Plover,W
Black-bellied Plover,W
Tropical Kingbird,L
Ruddy Turnstone,W
Dunlin,W
Cassin's Auklet,L
Barn Owl,R
Western Wattlebird,L
Canyon Wren,L
Lavender Waxbill,L
Tundra Swan,L
Couch's Kingbird,L
Forest Kingfisher,W
White-throated Needletail,L
Budgerigar,L
Pheasant Coucal,L
Little Lorikeet,L
Virginia's Warbler,L
Common Poorwill,L
Topknot Pigeon,L
Pacific Baza,R
Baillon's Crake,W
Spotted Harrier,R
Black-backed Bittern,W
Rufous-tailed Bush-hen,W
Bar-shouldered Dove,L
Golden-rumped Euphonia,L
Eastern Yellow Robin,L
White-winged Triller,L
Little Eagle,R
Red-capped Plover,W
Banded Stilt,W
Red-capped Robin,L
Wood Sandpiper,W
Common Greenshank,W
Semipalmated Sandpiper,W
Spruce Grouse,L
Black Falcon,R
Red Collared-Dove,L
Gray-capped Woodpecker,L
Dusky Thrush,L
Eyebrowed Thrush,L
Chinese Pond-Heron,W
Olive-backed Pipit,L
Black Drongo,L
Asian Brown Flycatcher,L
Japanese Thrush,L
Purple Sandpiper,L
Cassin's Sparrow,L
Golden-fronted Woodpecker,L
Great Kiskadee,L
Olive Sparrow,L
Gray Hawk,R
Clay-colored Thrush,L
Green Parakeet,L
Long-billed Thrasher,L
White-breasted Woodswallow,L
Sulphur-bellied Flycatcher,L
Blue-and-yellow Tanager,L
Glossy Flowerpiercer,L
Eurasian Treecreeper,L
